PCM,Maths,Physics,Chemistry,Rank
98.0989695,97.2353584,97.714309,98.3841123,4083
98.0935379,97.9215399,91.9980426,99.3169434,4093
98.0899169,97.9215399,98.663197,94.4674962,4103
98.0852096,98.8311378,96.9453606,92.4122094,4113
98.0815886,99.7729626,83.9779893,84.9877916,4123
98.0768813,97.8487576,99.2226408,91.5838758,4133
98.0728982,96.5408486,98.909913,97.805808,4143
98.0692772,97.5612494,97.3773684,98.1516692,4153
98.0645699,98.4777272,95.4507919,96.2992604,4163
98.0591383,98.9470101,98.0359573,82.416899,4173
98.0551552,97.2487562,97.9368122,97.7905157,4183
98.05081,96.6458579,97.6350439,99.1683531,4193
98.047189,97.1234692,97.6350439,98.569659,4203
98.0428438,97.3363846,97.901385,97.8427644,4213
98.0381365,96.6458579,97.9936486,98.9132263,4223
98.0341534,98.6174982,96.2207598,94.9795338,4233
98.0301703,99.111404,94.8671353,92.4122094,4243
98.0232903,97.1234692,98.3130031,97.7066629,4253
98.0196693,97.4681894,98.3130031,96.6290646,4263
98.0153241,96.7534019,98.937694,97.0223319,4273
98.0098926,96.2265449,98.937694,97.9944132,4283
98.0059095,97.9215399,97.3773684,96.7162308,4293
98.0015643,96.6458579,99.0184884,97.2020165,4303
97.996857,96.7534019,97.3075335,99.0189981,4313
97.9910633,98.3864777,97.0987934,94.7001942,4323
97.9870802,94.8766322,98.452418,99.6151435,4333
97.982735,96.5223815,98.7478145,97.8720747,4343
97.979114,97.5612494,97.7617152,97.2825561,4353
97.975493,97.7397652,98.5334672,94.7001942,4363
97.9704236,98.0786918,95.9572223,97.3643699,4373
97.9660784,96.8808615,98.5375452,97.3738002,4383
97.9620953,99.1161113,95.3804472,89.8094578,4393
97.9566637,95.1290166,99.0946951,98.8237663,4403
97.9523185,97.0506869,99.0946951,95.3615867,4413
97.9479733,98.7489409,97.0085688,90.3969375,4423
97.9429039,98.8774867,94.5735229,94.0816202,4433
97.9389208,98.3097123,97.3075335,94.0816202,4443
97.9338514,97.9910633,97.3075335,95.7693817,4453
97.9295062,97.9910633,96.8301585,96.3940727,4463
97.9247989,97.2353584,98.1422389,97.0223319,4473
97.9211778,97.9972191,89.6881388,98.9325966,4483
97.918281,97.6557578,96.2207598,97.9944132,4493
97.9139358,97.1234692,98.8120422,95.9625746,4503
97.9103148,96.7534019,97.714309,98.3841123,4513
97.9063317,96.6458579,99.0184884,96.6290646,4523
97.9027107,98.0786918,98.5334672,91.3269649,4533
97.8980034,97.3961313,95.6373581,98.6784893,4543
97.892934,98.9879276,93.6391626,93.2632266,4553
97.8882266,97.3599212,97.1528263,97.6551787,4563
97.8846056,97.6767596,96.146847,97.7905157,4573
97.8798983,99.2529855,97.3075335,61.2661015,4583
97.8748289,98.0786918,90.7267417,98.6078898,4593
97.8708458,98.4060312,96.666021,93.9671827,4603
97.8665006,98.885453,95.3804472,91.3929768,4613
97.8614312,97.0506869,99.2728505,93.5558195,4623
97.8581723,98.2398268,97.3773684,93.5558195,4633
97.8534649,97.7578703,98.1600799,94.5250972,4643
97.8483955,98.627637,95.3804472,93.8086524,4653
97.8444124,97.1234692,97.9936486,97.2020165,4663
97.8407914,98.677969,97.901385,84.9877916,4673
97.8368083,98.677969,97.531311,87.630813,4683
97.8317389,97.667345,98.7478145,92.2592863,4693
97.8273937,95.6040932,99.4910209,96.3940727,4703
97.8234106,96.506449,98.354802,97.7772624,4713
97.8197895,97.7477314,97.0085688,96.4822584,4723
97.8161685,97.2353584,96.8301585,97.9944132,4733
97.810737,98.3864777,97.0987934,92.6125387,4743
97.8060297,98.7406125,90.0169235,95.9625746,4753
97.8020466,88.5250176,99.7774969,99.4456537,4763
97.7966151,97.1430227,95.2081539,98.9754151,4773
97.7922699,97.3859925,96.4725732,97.8840537,4783
97.7886489,97.5612494,97.7617152,96.1007152,4793
97.7850278,93.6259351,98.0244881,99.8445282,4803
97.7803205,97.9972191,91.9047595,98.0566019,4813
97.7752511,98.4697609,92.4127191,96.276067,4823
97.7687333,98.4121869,97.4316561,90.0294122,4833
97.764026,95.1290166,98.8951304,98.5110385,4843
97.7593187,97.0506869,97.3773684,97.7596762,4853
97.7549735,96.5567811,99.5993414,91.6733358,4863
97.749904,98.6174982,97.3075335,87.8642756,4873
97.7455588,96.9500228,96.8847011,98.092284,4883
97.7408515,96.0838771,97.8009655,98.6784893,4893
97.7372305,97.8364462,97.6350439,94.3056525,4903
97.7328853,98.9354229,92.7422685,92.6125387,4913
97.7274538,97.3599212,88.7270169,99.4160885,4923
97.7227465,97.4681894,98.3130031,94.3056525,4933
97.7165907,97.9215399,98.663197,89.1998043,4943
97.7122455,98.8311378,82.3228513,96.1007152,4953
97.7082624,98.3864777,97.0987934,91.3269649,4963
97.7039172,95.6040932,98.937694,97.5687772,4973
97.699572,96.0646857,99.0184884,96.6290646,4983
97.6952268,98.6844869,96.0517798,90.2751087,4993
97.6901574,86.6362985,99.3867783,99.9062071,5003
97.6865364,98.2467067,94.4804947,95.6651391,5013
97.6825532,97.5612494,96.9453606,96.7162308,5023
97.6778459,97.1234692,94.7799691,98.9132263,5033
97.6727765,96.9500228,97.3916412,97.3875633,5043
97.6680692,94.6470601,99.5919501,96.6290646,5053
97.6644482,97.4681894,96.3030834,97.2020165,5063
97.660103,95.1290166,98.0955973,99.088833,5073
